name,technology,date,status,jobs,location,longitude,latitude
"1366 Technologies, Inc.",Solar Manufacturing,Sep-11,Closed,70/50,"Lexington, MA",-71.2245003,42.4473175
Abengoa Bioenergy Biomass of Kansas LLC,Biofuel,Aug-11,Closed,65/300,"Hugoton, KS",-101.3496025,37.1753025
"Abengoa Solar, Inc. (Mojave Solar)",Solar Generation,Jun-11,Closed,70/830,"San Bernardino County, CA",-116.1131118,34.84012975
"Abengoa Solar, Inc. (Solana)",Solar Generation,Dec-10,Closed,"60/1,700","Gila Bend, AZ",-112.6772946,33.020427
Abound Solar,Solar Manufacturing,Dec-10,Discontinued,N/A/400,"Tipton, IN",-2.0757103,52.5275081
Abound Solar,Solar Manufacturing,Dec-10,Discontinued,N/A/400,Longmont CO,-105.1117721,40.167959
AREVA,Front-end Nuclear,May-10,Conditional Commitment,"310/1,000","Idaho Falls, ID",-112.044349,43.4930789
Caithness Shepherds Flat,Wind Generation,Oct-10,Closed,35/400,"Morrow County, OR",-119.5769159,45.4594905
Caithness Shepherds Flat,Wind Generation,Oct-10,Closed,35/400,"Gilliam County, OR",-120.2443635,45.43931985
"Cogentrix of Alamosa, LLC",Solar Generation,Sep-11,Closed,Oct-75,"Alamosa, CO",-105.8696009,37.469877
Exelon (Antelope Vallet Solar Ranch),Solar Generation,Sep-11,Closed,20/350,"Lancaster, CA",-118.1366153,34.6981064
Fisker Automotive,,Apr-10,Discontinued,300,"Wilmington, DE",-75.546589,39.7459468
Ford Motor Company,,Sep-09,Closed,33000,"Detroit, Michigan",-83.0567375,42.3486635
Ford Motor Company,,Sep-09,Closed,33000,"Kansas City, Missouri",-94.5630298,39.0844687
Ford Motor Company,,Sep-09,Closed,33000,"Chicago, Illinois",-87.6243706,41.8756208
Ford Motor Company,,Sep-09,Closed,33000,"Cincinnati, Ohio",-84.5124602,39.1014537
"Georgia Power Company (GPC), Oglethorpe Power Corporation (OPC), Municipal Electric Authority of Georgia (MEGA)",Nuclear Generation,Feb-10,Conditional Commitment,"800/3,500","Waynesboro, GA",-82.0156736,33.0898731
Granite Reliable,Wind Generation,Sep-11,Closed,6/198,"Coos County, NH",-71.3768039,44.698627
Kahuku Wind Power (first Wind),Wind Generation,Mar-10,Closed,10/200,"Kahuku Oahu, HI",-157.9448942,21.6817461
LS Power Associates (ON Line - formerly known as SWIP-S),Transmission,Feb-11,Closed,15/400,"Eastern Nevada, NV",-119.1949652,40.7778757
"Mesquite Solar 1, LLC (Sempra Mesquite)",Solar Generation,Sep-11,Closed,7/300,"Maricopa County, AZ",-112.4790473,33.4196631
"Nevada Geothermal Power Company, Inc. (blue Mountain)",Geothermal,Sep-11,Closed,14/200,"Humbolt County, CA",-123.9078298,40.7335469
"NextEra Energy Resources, LLC (Desert Sunlight)",Solar Generation,Sep-11,Closed,15/500,"Riverside County, CA",-116.0201909,33.75303345
"NextEra Energy Resources, LLC (Genesis Solar)",Solar Generation,Jun-11,Closed,47/800,"Riverside County, CA",-116.0201909,33.75303345
"Nissan Borth America, Inc.",,Jan-10,Closed,1300,"Smyrna, Tennessee",-86.5186045,35.9828413
"NRG Energy, Inc. (BrightSource)",Solar Generation,Apr-11,Closed,"86/1,000","Baker, CA",-117.6675604,35.0421963
NRG Solar (California Valley Solar Ranch),Solar Generation,Sep-11,Closed,15/350,"San Luis Obispo, CA",-120.6596156,35.2827525
"NRG Solar, LLC (Agua Caliente)",Solar Generation,Aug-11,Closed,10/400,"Yuma County, AZ",-114.074901,32.751632
"Ormat Nevada, Inc.",Geothermal,Jun-11,Closed,64/332,"Jersey Valley, NV",-116.6194662,40.7886444
"Ormat Nevada, Inc.",Geothermal,Jun-11,Closed,64/332,"McGinness Hills, NV",-119.7738052,39.4688186
"Ormat Nevada, Inc.",Geothermal,Jun-11,Closed,64/332,"Tuscarora, NV",-116.2217565,41.3140735
Record Hill Wind,Wind Generation,Aug-11,Closed,8/200,"Roxbury, ME",-70.5934009,44.6697827
Silyndra Inc.,Solar Manufacturing,Sep-09,Discontinued,"N/A/3,000","Fremont, CA",-121.9885719,37.5482697
"SolarReserve, LLC (Crescent Dunes)",Solar Generation,Jun-11,Closed,45/600,"Nye County, NV",-116.4069616,38.3544843
Stephentown Spindle (Beacon Power),Energy Storage,Aug-10,Closed,14/20,"Stephentown, NY",-73.3739973,42.5486929
Tesia Motors,,Jan-10,Closed,1500,"Fremont, California",-121.9885719,37.5482697
The Vehicle Production Group LLC,,Mar-11,Discontinued,900,"Mishawaka, Indiana",-86.1586156,41.6619927
"US Geothermal, Inc.",Geothermal,Feb-11,Closed,10/150,"Malheur County, OR",-117.6916892,43.1023481
