name,technology,date,status,jobs,location,longitude,latitude,loan_amt,gen_energy,node,type,no_proj
AREVA,Front-end Nuclear,May-10,Conditional Commitment,"310/1,000","Idaho Falls, ID",-112.044349,43.4930789,$2 billion,,851121,1703,
"Georgia Power Company (GPC), Oglethorpe Power Corporation (OPC), Municipal Electric Authority of Georgia (MEGA)",Nuclear Generation,Feb-10,Conditional Commitment,"800/3,500","Waynesboro, GA",-82.0156736,33.0898731,$8.33 billion,,851126,1703,
"1366 Technologies, Inc.",Solar Manufacturing,Sep-11,Closed,70/50,"Lexington, MA",-71.2245003,42.4473175,$150 million,,851136,1705,
Abengoa Bioenergy Biomass of Kansas LLC,Biofuel,Aug-11,Closed,65/300,"Hugoton, KS",-101.3496025,37.1753025,$132.4 million,,851146,1705,
"Abengoa Solar, Inc. (Mojave Solar)",Solar Generation,Jun-11,Closed,70/830,"San Bernardino County, CA",-116.1131118,34.84012975,$1.2 billion,,851151,1705,
"Abengoa Solar, Inc. (Solana)",Solar Generation,Dec-10,Closed,"60/1,700","Gila Bend, AZ",-112.6772946,33.020427,$1.446 billion,Yes,851156,1705,
Abound Solar,Solar Manufacturing,Dec-10,Discontinued,N/A/400,"Tipton, IN",-86.0446045,40.2824405,$400 million,,no,1705,
Abound Solar,Solar Manufacturing,Dec-10,Discontinued,N/A/400,"Longmont, CO",-105.1117721,40.167959,$400 million,,no,1705,
Caithness Shepherds Flat,Wind Generation,Oct-10,Closed,35/400,"Morrow County, OR",-119.5769159,45.4594905,partial guarantee of $1.3 billion,Yes,851166,1705,
Caithness Shepherds Flat,Wind Generation,Oct-10,Closed,35/400,"Gilliam County, OR",-120.2443635,45.43931985,partial guarantee of $1.3 billion,Yes,851166,1705,
"Cogentrix of Alamosa, LLC",Solar Generation,Sep-11,Closed,Oct-75,"Alamosa, CO",-105.8696009,37.469877,$90 million,Yes,851176,1705,
Exelon (Antelope Vallet Solar Ranch),Solar Generation,Sep-11,Closed,20/350,"Lancaster, CA",-118.1366153,34.6981064,$646 million,Yes,851181,1705,
Granite Reliable,Wind Generation,Sep-11,Closed,6/198,"Coos County, NH",-71.3768039,44.698627,partial guarantee of $168.9 million,Yes,851186,1705,
Kahuku Wind Power (first Wind),Wind Generation,Mar-10,Closed,10/200,"Kahuku, HI",-157.9448942,21.6817461,$117 million,Yes,851201,1705,
LS Power Associates (ON Line - formerly known as SWIP-S),Transmission,Feb-11,Closed,15/400,"Eastern Nevada, NV",-110.4752088,38.7595023,$343 million,,851206,1705,
"Mesquite Solar 1, LLC (Sempra Mesquite)",Solar Generation,Sep-11,Closed,7/300,"Maricopa County, AZ",-112.4790473,33.4196631,$337 million,Yes,851236,1705,
