name,technology,date,status,jobs,location,longitude,latitude,loan_amt,gen_energy,node,type,no_proj
"Cogentrix of Alamosa, LLC",Solar Generation,Sep-11,Closed,10/75,"Alamosa, CO",-105.8696009,37.469877,$2 billion,no,851121,1703,no
Fisker Automotive,no,Apr-10,Discontinued,300,"Irvine, CA",-75.550982,39.7439139,$8.33 billion,no,851126,1703,no
"NRG Energy, Inc. (BrightSource)",Solar Generation,Apr-11,Closed,"86/1,000","Baker, CA",-117.6675604,35.0421963,$150 million,no,851136,1705,no
Granite Reliable,Wind Generation,Sep-11,Closed,6/198,"Coos County, NH",-71.3768039,44.698627,$132.4 million,no,851146,1705,no
Ford Motor Company,no,Sep-09,Closed,33000,"Dearborn, MI",-83.1763145,42.3222599,$1.2 billion,no,851151,1705,no
LS Power Associates (ON Line - formerly known as SWIP-S),Transmission,Feb-11,Closed,15/400,"Eastern Nevada, NV",-119.1949652,40.7778757,$1.446 billion,Yes,851156,1705,no
Solyndra Inc.,Solar Manufacturing,Sep-09,Discontinued,"N/A/3,000","Fremont, CA",-121.9885719,37.5482697,$400 million,,no,1705,no
Tesia Motors,no,Jan-10,Closed,1500,"Fremont, CA",-121.9885719,37.5482697,partial guarantee of $1.3 billion,Yes,851166,1705,no
"Abengoa Solar, Inc. (Solana)",Solar Generation,Dec-10,Closed,"60/1,700","Gila Bend, AZ",-112.6772946,33.020427,$90 million,Yes,851176,1705,no
Caithness Shepherds Flat,Wind Generation,Oct-10,Closed,35/400,"Morrow County, OR",-119.5760545,45.4571482,$646 million,Yes,851181,1705,no
Caithness Shepherds Flat,Wind Generation,Oct-10,Closed,35/400,"Gilliam County, OR",-121.8382423,45.7942763,$646 million,Yes,851181,1705,no
Abengoa Bioenergy Biomass of Kansas LLC,Biofuel,Aug-11,Closed,65/300,"Hugoton, KS",-101.3496025,37.1753025,partial guarantee of $168.9 million,Yes,851186,1705,no
"Nevada Geothermal Power Company, Inc. (blue Mountain)",Geothermal,Sep-11,Closed,14/200,"Humbolt County, CA",-123.9078298,40.7335469,$117 million,Yes,851201,1705,no
AREVA,Front-end Nuclear,May-10,Conditional Commitment,"310/1,000","Idaho Falls, ID",-112.044349,43.4930789,$343 million,no,851206,1705,no
"Ormat Nevada, Inc.",Geothermal,Jun-11,Closed,64/332,"McGinness Hills, NV",-119.7738052,39.4688186,$337 million,Yes,851236,1705,no
"Ormat Nevada, Inc.",Geothermal,Jun-11,Closed,64/332,"Tuscarora, NV",-116.2217565,41.3140735,$337 million,Yes,851236,1705,no
"Ormat Nevada, Inc.",Geothermal,Jun-11,Closed,64/332,"Jersey Valley, NV",-116.6194662,40.7886444,$337 million,Yes,851236,1705,no
Kahuku Wind Power (first Wind),Wind Generation,Mar-10,Closed,10/200,"Kahuku Oahu, HI",-157.9448942,21.6817461,partial guarantee of $98.5 million,Yes,851251,1705,no
Exelon (Antelope Vallet Solar Ranch),Solar Generation,Sep-11,Closed,20/350,"Lancaster, CA",-118.1366153,34.6981064,partial guarantee of $1.46 billion,Yes,851266,1705,no
"1366 Technologies, Inc.",Solar Manufacturing,Sep-11,Closed,70/50,"Lexington, MA",-71.2245003,42.4473175,partial guarantee of $1852 million,no,851346,1705,no
Abound Solar,Solar Manufacturing,Dec-10,Discontinued,N/A/400,Longmont CO,-105.1117721,40.167959,$1.6 billion,Yes,851356,1705,no
"US Geothermal, Inc.",Geothermal,2/1011,Closed,10/150,"Malheur County, OR",-117.6916892,43.1023481,$1.237 billion,Yes,851361,1705,no
"Mesquite Solar 1, LLC (Sempra Mesquite)",Solar Generation,Sep-11,Closed,7/300,"Maricopa County, AZ",-112.5332398,33.1984472,$967 million,Yes,851371,1705,no
The Vehicle Production Group LLC,no,Mar-11,Discontinued,900,"Mishawaka, IN",-86.1586156,41.6619927,partial guarantee of $350 million,Yes,851386,1705,no
"SolarReserve, LLC (Crescent Dunes)",Solar Generation,Jun-11,Closed,45/600,"Nye County, NV",-116.4069616,38.3544843,$102 million,Yes,851396,1705,no
"NextEra Energy Resources, LLC (Desert Sunlight)",Solar Generation,Sep-11,Closed,15/500,"Riverside County, CA",-116.0201909,33.75303345,$737 million,no,851406,1705,no
"NextEra Energy Resources, LLC (Genesis Solar)",Solar Generation,Jun-11,Closed,47/800,"Riverside County, CA",-116.0201909,33.75303345,$535 million,no,no,1705,no
Record Hill Wind,Wind Generation,Aug-11,Closed,8/200,"Roxbury, ME",-70.5934009,44.6697827,$43 million,no,851416,1705,no
"Abengoa Solar, Inc. (Mojave Solar)",Solar Generation,Jun-11,Closed,70/830,"San Bernardino County, CA",-116.1131118,34.84012975,$97 million,Yes,851421,1705,no
NRG Solar (California Valley Solar Ranch),Solar Generation,Sep-11,Closed,15/350,"San Luis Obispo, CA",-120.6596156,35.2827525,$529 million,no,no,ATVM,2
"Nissan Borth America, Inc.",no,Jan-10,Closed,1300,"Smyrna, TN",-86.5186045,35.9828413,$5.907 billion,no,851431,ATVM,13
Stephentown Spindle (Beacon Power),Energy Storage,Aug-10,Closed,14/20,"Stephentown, NY",-73.3739973,42.5486929,$1.448 billion,no,851436,ATVM,2
"Georgia Power Company (GPC), Oglethorpe Power Corporation (OPC), Municipal Electric Authority of Georgia (MEGA)",Nuclear Generation,Feb-10,Conditional Commitment,"800/3,500","Waynesboro, GA",-82.0156736,33.0898731,$465 million,no,851441,ATVM,2
"NRG Solar, LLC (Agua Caliente)",Solar Generation,Aug-11,Closed,10/400,"Yuma Count, AZ",-114.074901,32.751632,$50 million,no,no,ATVM,1
